,Datetime,Open,High,Low,Close,Adj Close,Volume
0,2021-12-21 20:00:00,2863.0,2868.952392578125,2856.3701171875,2858.969970703125,2858.969970703125,45566
1,2021-12-21 20:05:00,2854.0,2860.429931640625,2854.0,2855.070068359375,2855.070068359375,16995
2,2021-12-21 20:10:00,2850.0,2853.7099609375,2844.6201171875,2848.409912109375,2848.409912109375,15261
3,2021-12-21 20:15:00,2848.14990234375,2849.264892578125,2844.0,2844.0,2844.0,15001
4,2021-12-21 20:20:00,2843.6298828125,2845.1298828125,2838.340087890625,2843.760009765625,2843.760009765625,20823
5,2021-12-21 20:25:00,2842.0,2844.300048828125,2838.0,2839.550048828125,2839.550048828125,13653
6,2021-12-21 20:30:00,2841.419921875,2848.739990234375,2840.64990234375,2842.0400390625,2842.0400390625,11737
7,2021-12-21 20:35:00,2841.530029296875,2846.044921875,2841.530029296875,2845.544921875,2845.544921875,9613
8,2021-12-21 20:40:00,2846.0,2848.344970703125,2846.0,2847.63037109375,2847.63037109375,8004
9,2021-12-21 20:45:00,2849.219970703125,2854.489990234375,2848.985107421875,2852.4951171875,2852.4951171875,10640
10,2021-12-21 20:50:00,2852.320068359375,2853.503662109375,2844.449951171875,2844.449951171875,2844.449951171875,11348
11,2021-12-21 20:55:00,2842.39990234375,2842.39990234375,2839.06005859375,2840.5400390625,2840.5400390625,10182
12,2021-12-21 21:00:00,2840.5400390625,2840.5400390625,2837.239990234375,2837.239990234375,2837.239990234375,4546
13,2021-12-21 21:05:00,2839.010009765625,2840.0,2835.39990234375,2838.635009765625,2838.635009765625,9746
14,2021-12-21 21:10:00,2837.7900390625,2839.780029296875,2837.56005859375,2838.0048828125,2838.0048828125,6633
15,2021-12-21 21:15:00,2836.800048828125,2840.6201171875,2834.699951171875,2840.6201171875,2840.6201171875,10480
16,2021-12-21 21:20:00,2842.52001953125,2843.530029296875,2841.60009765625,2842.050048828125,2842.050048828125,4089
17,2021-12-21 21:25:00,2845.0,2845.409912109375,2844.610107421875,2845.409912109375,2845.409912109375,4000
18,2021-12-21 21:30:00,2846.530029296875,2850.0810546875,2844.60009765625,2850.080078125,2850.080078125,6624
19,2021-12-21 21:35:00,2850.5400390625,2860.070068359375,2850.5400390625,2859.32421875,2859.32421875,14539
20,2021-12-21 21:40:00,2858.469970703125,2858.840087890625,2855.125,2858.840087890625,2858.840087890625,8708
21,2021-12-21 21:45:00,2857.045654296875,2860.0,2856.8701171875,2856.8701171875,2856.8701171875,7231
22,2021-12-21 21:50:00,2856.5,2857.800048828125,2853.64990234375,2853.64990234375,2853.64990234375,6167
23,2021-12-21 21:55:00,2854.47998046875,2860.14990234375,2854.47998046875,2859.27783203125,2859.27783203125,7570
24,2021-12-21 22:00:00,2860.0,2860.0,2858.0,2858.830078125,2858.830078125,9799
25,2021-12-21 22:05:00,2857.2099609375,2864.747314453125,2856.14990234375,2864.747314453125,2864.747314453125,9127
26,2021-12-21 22:10:00,2863.9599609375,2868.89990234375,2863.695068359375,2868.360107421875,2868.360107421875,7146
27,2021-12-21 22:15:00,2868.4599609375,2868.969970703125,2863.0,2864.780029296875,2864.780029296875,8371
28,2021-12-21 22:20:00,2862.530029296875,2868.52001953125,2862.5,2868.52001953125,2868.52001953125,7297
29,2021-12-21 22:25:00,2868.68994140625,2869.31005859375,2865.2099609375,2865.360107421875,2865.360107421875,6245
30,2021-12-21 22:30:00,2865.905029296875,2869.179931640625,2865.905029296875,2868.3701171875,2868.3701171875,5852
31,2021-12-21 22:35:00,2866.239990234375,2866.239990234375,2861.9599609375,2865.614990234375,2865.614990234375,7559
32,2021-12-21 22:40:00,2865.570068359375,2872.969970703125,2865.409912109375,2870.300048828125,2870.300048828125,13178
33,2021-12-21 22:45:00,2869.830078125,2873.784912109375,2869.830078125,2872.0,2872.0,5696
34,2021-12-21 22:50:00,2869.554931640625,2871.1201171875,2869.0,2870.340087890625,2870.340087890625,6657
35,2021-12-21 22:55:00,2871.570068359375,2874.14990234375,2871.4599609375,2874.14990234375,2874.14990234375,4469
